id,lat,lng,label,population,risk
2335,39.1753,-76.6683,"Baltimore",8035632,0.00012846514746386523
2375,37.6189,-122.3917,"San Francisco",7595097,0.0012305780023836505
2393,33.9425,-118.4081,"Los Angeles",19797290,0.001013301532053102
2489,42.3644,-71.0053,"Boston",5294555,0.00012846514746386523
2518,40.6397,-73.7789,"New York",16714154,0.0008456741750873325
2682,43.6772,-79.6306,"Toronto",7618258,0.0004166924002599785
2766,49.1939,-123.1844,"Vancouver",2794226,0.0005376200394871742
2801,33.5114,126.4931,"Jeju",527344,0.00016287543164597145
2803,37.4692,126.4506,"Seoul",27019922,0.005753566654942298
2806,35.1403,129.0628,"Pusan",4350635,0.00018614335466604542
2821,1.3592,103.9894,"Singapore",4091180,0.00396406700295978
2825,25.0778,121.2328,"Taipei",10434115,0.005721941953677064
2828,22.5772,120.35,"Kaohsiung",5680715,0.0027682270281550883
2874,40.4936,-3.5667,"Madrid",6752288,0.00013420018499603423
2884,41.2969,2.0783,"Barcelona (ES)",4148999,0.00010192005592618815
2966,35.6889,51.3147,"Tehran",18888667,0.0001327254576883855
3041,-43.4894,172.5322,"Christchurch",450914,0.00010388633934002235
3046,-37.0097,174.7917,"Auckland",1473397,0.0005576107939896451
3093,45.63,8.7231,"Milan",8907478,0.0001602536909329797
3099,41.8003,12.2389,"Rome",4729924,0.0004742067652582789
3106,35.5522,139.7797,"Tokyo",32212732,0.0005910379364648342
3127,35.7647,140.3864,"Tokyo Narita",8512151,0.0052085729789168814
3141,34.8583,136.8053,"Nagoya",11834566,0.0005014072846005674
3147,33.5858,130.4506,"Fukuoka",3931988,0.00025529169592165585
3151,34.4272,135.2442,"Osaka",19601735,0.0025461986325047412
3158,42.7753,141.6922,"Sapporo",3205804,0.00019089525049129728
3181,25.2528,55.3644,"Dubai",1501658,0.0017254309499490114
